t_start,t_end,ID_old,ID_new,t_added,name,comment
2019-02-13T12:00:00Z,2019-02-13T22:20:00Z,all,NA,2020-10-08T13:38:00Z,Ryan,bad cal on reboot
2019-05-17T22:39:00Z,2019-05-17T23:01:00Z,all,NA,2020-10-08T13:40:00Z,Ryan,Bad cal on tank swap
2019-07-06T15:00:00Z,2019-07-12T17:00:00Z,~502.42~5.585,NA,2020-10-08T13:52:00Z,Ryan,Empty Tank
2019-07-08T15:04:02Z,2019-07-08T15:20:00Z,all,NA,2020-10-08T13:53:00Z,Ryan,Bad Cal
2019-07-12T16:00:00Z,2019-07-12T17:00:00Z,~409.97~1.857,NA,2020-11-16T23:08:00Z,Logan,Bad Cal
2019-07-15T14:02:00Z,2019-07-15T16:00:00Z,all,NA,2020-11-16T23:09:00Z,Logan,data between a cal step change that causes a spike
2019-07-16T12:49:00Z,2019-07-16T13:34:00Z,all,NA,2020-11-17T02:30:00Z,Logan,data between a cal step change that causes a spike
2019-07-22T17:21:00Z,2019-07-22T17:40:00Z,all,NA,2020-11-17T02:30:00Z,Logan,data between a cal step change that causes a spike
2019-07-29T13:10:00Z,2019-07-29T14:42:00Z,all,NA,2020-11-17T02:30:00Z,Logan,data between a cal step change that causes a spike
2019-08-14T19:29:15Z,2019-08-14T19:32:51Z,all,NA,2020-10-08T13:56:00Z,Ryan,ATM contamination
2019-08-26T19:10:59Z,2019-08-26T20:50:00Z,all,NA,2020-10-08T13:53:00Z,Ryan,Bad Cal
2019-09-16T20:34:54Z,2019-09-16T20:42:30Z,all,NA,2020-10-08T13:58:00Z,Ryan,Bad cal
2019-11-11T20:15:00Z,2019-11-11T21:50:30Z,all,NA,2020-10-08T13:58:00Z,Ryan,Bad cal
2019-11-11T21:50:31Z,2019-11-11T21:50:33Z,all,NA,2020-10-08T13:58:00Z,Ryan,test
2019-12-23T18:00:00Z,2020-01-02T15:00:00Z,all,NA,2022-02-22T19:35:00Z,MeganOstlie,All values reading 150 to 200ppm lower than they should be
2021-08-02T00:00:00Z,2021-09-10T17:00:00Z,all,NA,2021-09-15T18:43:43Z,Nic H, uncapped tube from inlet caused lab air to be pulled into instruments for entire period
2022-02-21T17:15:00Z,2022-02-21T17:35:00Z,all,NA,2022-02-28T16:50:00Z,MeganOstlie,Cal tanks reading below 120ppm
2022-03-04T19:30:00Z,2022-03-07T20:00:00Z,all,NA,2022-04-12T20:52:00Z,MeganOstlie,CH4 values reading around 0
2022-03-19T18:00:00Z,2022-04-11T16:28:00Z,~504.01~4.60,~447.00~2.00,2022-04-11T16:35:00Z,MeganOstlie,Mid and High cal tank values were swapped
2022-03-19T18:00:00Z,2022-04-11T16:28:00Z,~447.88~2.99,~504.01~4.60,2022-04-11T16:37:00Z,MeganOstlie,Mid and High cal tank values were swapped
2022-03-19T18:00:00Z,2022-04-11T16:28:00Z,~447.00~2.00,~447.88~2.99,2022-04-11T23:45:00Z,MeganOstlie,Mid and High cal tank values were swapped
2022-03-19T18:30:38Z,2022-03-19T18:32:08Z,all,NA,2023-02-15T16:39:00Z,MeganOstlie,Missing flush period after high tank caused invalid values
2022-03-20T03:57:38Z,2022-03-20T03:59:08Z,all,NA,2023-02-14T18:26:00Z,MeganOstlie,Missing flush period after high tank caused invalid values
2022-03-20T10:15:38Z,2022-03-20T10:17:08Z,all,NA,2023-02-15T16:40:00Z,MeganOstlie,Missing flush period after high tank caused invalid values
2022-03-20T19:42:38Z,2022-03-20T19:44:08Z,all,NA,2023-02-09T18:05:00Z,MeganOstlie,Missing flush period after high tank caused invalid values
2022-03-20T22:51:38Z,2022-03-20T22:53:08Z,all,NA,2023-02-27T16:47:00Z,MeganOstlie,Missing flush period after high tank caused invalid values
2022-03-21T02:00:38Z,2022-03-21T02:02:08Z,all,NA,2023-02-09T18:07:00Z,MeganOstlie,Missing flush period after high tank caused invalid values
2022-03-21T05:09:38Z,2022-03-21T05:11:08Z,all,NA,2023-02-27T16:48:00Z,MeganOstlie,Missing flush period after high tank caused invalid values
